"","adoption.dateTRUE","med_sch_yrTRUE","meetingsTRUE","joursTRUE","free_timeTRUE","discussTRUE","clubsTRUE","friendsTRUE","communityTRUE","patientsTRUE","proximityTRUE","specialty2","specialty3","specialty4"
"80",1,1,1,1,0,1,0,1,1,1,0,0,0,1
"81",1,1,0,1,1,1,0,0,0,0,1,0,0,1
"82",1,1,0,0,0,1,0,1,0,0,1,0,0,1
"83",1,1,1,1,0,0,0,1,0,0,0,0,0,1
"84",1,0,1,0,1,0,0,0,1,0,0,0,0,1
"85",1,0,0,1,1,1,0,0,0,0,0,0,0,1
"86",0,1,0,1,1,0,0,0,1,0,0,0,1,0
"87",0,0,1,1,0,1,0,0,1,0,1,0,1,0
"88",0,0,1,1,1,0,0,0,1,0,0,1,0,0
"89",0,1,0,1,1,1,0,0,1,0,1,1,0,0
"90",0,1,0,1,0,0,0,1,1,0,1,1,0,0
"91",1,1,0,0,0,0,0,0,1,0,0,1,0,0
"92",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"93",0,1,0,1,1,1,0,0,0,0,1,1,0,0
"94",1,0,1,1,1,0,0,0,1,1,0,0,0,1
"95",1,1,1,1,1,1,0,0,0,0,1,0,0,1
"96",1,0,1,1,0,0,0,0,1,0,1,0,0,1
"97",1,1,1,1,1,1,0,0,0,0,1,0,0,1
"98",1,1,0,0,0,1,0,1,0,0,0,0,0,1
"99",1,1,0,1,1,0,0,0,0,1,1,0,0,1
"100",1,0,1,1,0,0,0,0,1,0,1,0,0,1
"101",1,0,0,0,1,0,0,0,1,1,0,0,0,0
"102",1,0,0,0,1,0,0,0,1,1,0,0,0,0
"103",1,0,0,0,0,0,0,1,1,0,0,0,0,1
"104",1,1,0,0,1,0,0,0,0,0,0,0,0,1
"105",1,1,0,0,1,0,0,0,0,0,0,0,0,1
"106",1,1,0,0,1,0,0,0,0,0,0,0,0,1
